Nombre y apellidos;Grupo;Lista;ProvinciaAlaQueRepresenta;Alta;Baja;
Gómez García, Rodrigo;Ciudadanos;Ciudadanos;Zaragoza;14 de mayo de 2019;;
Gómez González, Rubén;Ciudadanos;Ciudadanos;Cantabria;13 de mayo de 2019;;
Gómez Hernández, Héctor;Socialista;PSOE;Tenerife;14 de mayo de 2019;;
Gómez-Reino Varela, Antonio;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Podemos-EU-Mareas En Común-Equo;La Coruña;17 de mayo de 2019;;
González Caballero, Miguel Ángel;Socialista;PSOE;Ciudad Real;9 de mayo de 2019;;
González Guinda, María del Carmen;Popular;PP;León;9 de mayo de 2019;;
González Pérez, Ariagona;Socialista;PSOE;Las Palmas;14 de mayo de 2019;;
González Ramos, Manuel Gabriel;Socialista;PSOE;Albacete;8 de mayo de 2019;;
González Taño, María Guadalupe;Mixto;CC-PNC;Tenerife;8 de mayo de 2019;;
González Terol, Antonio;Popular;PP;Madrid;13 de mayo de 2019;;
González Vázquez, Marta;Popular;PP;La Coruña;8 de mayo de 2019;;
Gorospe Elezcano, Josune;Vasco (EAJ-PNV);EAJ-PNV;Vizcaya;14 de mayo de 2019;;
Gorrotxategi Azurmendi, Miren;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Vizcaya;10 de mayo de 2019;;
Grande-Marlaska Gómez, Fernando;Socialista;PSOE;Cádiz;16 de mayo de 2019;;
Granollers Cunillera, Inés;Republicano;ERC-S;Lleida;16 de mayo de 2019;;
Guerra López, Sonia;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Guijarro Ceballos, María;Socialista;PSE-EE-PSOE;Vizcaya;13 de mayo de 2019;;
Guijarro García, Txema;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Alicante;14 de mayo de 2019;;
Guillén Figuerola, Lourdes;Ciudadanos;Ciudadanos;Huesca;13 de mayo de 2019;;
Guinart Moreno, Lídia;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Guirao Cabrera, José;Socialista;PSOE;Almería;14 de mayo de 2019;;
Gutiérrez Díaz de Otazu, Fernando Adolfo;Popular;PP;Melilla;8 de mayo de 2019;;
Gutiérrez Prieto, Sergio;Socialista;PSOE;Toledo;13 de mayo de 2019;;
Gutiérrez Vivas, Miguel Ángel;Ciudadanos;Ciudadanos;Madrid;8 de mayo de 2019;;
Hermoso Ayuso, Carlos;Ciudadanos;Ciudadanos;Huelva;13 de mayo de 2019;;
Hernández Bento, María del Carmen;Popular;PP;Las Palmas;16 de mayo de 2019;;
Hernández Blázquez, Roberto;Ciudadanos;Ciudadanos;Madrid;13 de mayo de 2019;;
Hernández Muñoz, Manuel;Ciudadanos;Ciudadanos;Ávila;13 de mayo de 2019;;
Hernanz Costa, Sofía;Socialista;PSOE;Islas Baleares;14 de mayo de 2019;;
Herrero Bono, José Alberto;Popular;PP;Teruel;9 de mayo de 2019;;
Hervías Chirosa, Francisco Javier;Ciudadanos;Ciudadanos;Granada;14 de mayo de 2019;;
Honrubia Hurtado, Pedro Antonio;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Granada;14 de mayo de 2019;;
Hoyo Juliá, Belén;Popular;PP;Valencia;16 de mayo de 2019;;
Iglesias Turrión, Pablo;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Madrid;17 de mayo de 2019;;
Illueca Ballester, Héctor;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Valencia;14 de mayo de 2019;;
Iñarritu García, Jon;Mixto;EH Bildu;Guipúzcoa;14 de mayo de 2019;;
Izquierdo Roncero, José Javier;Socialista;PSOE;Valladolid;7 de mayo de 2019;;
Jiménez-Becerril Barrio, María Teresa;Popular;PP;Sevilla;16 de mayo de 2019;;
Jover Díaz, Antonia;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Islas Baleares;17 de mayo de 2019;;
Julià Julià, María Sandra;Ciudadanos;Ciudadanos;Castellón;13 de mayo de 2019;;
Junqueras Vies, Oriol;Mixto;ERC-S;Barcelona;20 de mayo de 2019;;
Lamuà Estañol, Marc;Socialista;PSC;Gerona;9 de mayo de 2019;;
Lastra Fernández, Adriana;Socialista;PSOE;Asturias;8 de mayo de 2019;;
Leal Fernández, Isaura;Socialista;PSOE;Madrid;9 de mayo de 2019;;
Legarda Uriarte, Mikel;Vasco (EAJ-PNV);EAJ-PNV;Álava;14 de mayo de 2019;;
Lima Cid, Fuensanta;Socialista;PSOE;Málaga;7 de mayo de 2019;;
López Álvarez, Patxi;Socialista;PSE-EE-PSOE;Vizcaya;13 de mayo de 2019;;
López Cano, Ignacio;Socialista;PSOE;Málaga;8 de mayo de 2019;;
López de Uralde Garmendia, Juan Antonio;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Álava;10 de mayo de 2019;;
López Izquierdo, Sonsoles;Socialista;PSdeG-PSOE;Lugo;9 de mayo de 2019;;
López-Bas Valero, Juan Ignacio;Ciudadanos;Ciudadanos;Alicante;13 de mayo de 2019;;
López Zamora, Cristina;Socialista;PSOE;Ciudad Real;15 de julio de 2019;;
